Device,Chip,iOS 12.0,iOS 12.0 v2,iOS 12.0.1,iOS 12.0.1 v2,iOS 12.1,iOS 12.1 v2,iOS 12.1 v3,iOS 12.1.1,iOS 12.1.2,iOS 12.1.2 v2,iOS 12.1.3,iOS 12.1.3 v2,iOS 12.1.4,iOS 12.2,iOS 12.3,iOS 12.3 v2,iOS 12.3.1,iOS 12.3.1 v2,iOS 12.3.2,iOS 12.4,iOS 12.4.1,iOS 12.4.2,iOS 12.4.3,iOS 12.4.4,iOS 12.4.5,iOS 12.4.6,iOS 12.4.7,iOS 12.4.8,iOS 12.4.9,iOS 12.5,iOS 12.5.1,iOS 12.5.2,iOS 12.5.3,iOS 12.5.4,iOS 12.5.5,iOS 12.5.6,iOS 12.5.7
iPhone 5s,A7,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",checkra1n,checkra1n
iPod Touch 6,A8,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",checkra1n,checkra1n
iPhone 6,A8,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",checkra1n,checkra1n
iPhone 6 Plus,A8,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, unc0ver, rootlessJB4, Chimera","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",checkra1n,checkra1n
iPhone 6s,A9,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 6s Plus,A9,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone SE (1st Gen),A9,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 7,A10,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 7 Plus,A10,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iPhone 8,A11,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4",N/A,N/A,"checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver, unc0ver dark, rootlessJB4","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver","checkra1n, Chimera, unc0ver",N/A,"checkra1n, Chimera, unc0ver",N/A,N/A,"checkra1n, Chimera, unc0ver, rootlessJB4","checkra1n, Chimera, unc0ver, rootlessJB4",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
