Device,Chip,iOS 13.0 Beta,iOS 13.0,iOS 13.1,iOS 13.1.1,iOS 13.1.2,iOS 13.1.2 v2,iOS 13.1.3,iOS 13.2,iOS 13.2.2,iOS 13.2.3,iOS 13.3,iOS 13.3.1,iOS 13.4,iOS 13.4 v2,iOS 13.4.1,iOS 13.4.1 v2,iOS 13.4.5 Beta,iOS 13.5,iOS 13.5.1,iOS 13.5.5 Beta,iOS 13.6,iOS 13.6.1,iOS 13.7
iPhone 6s,A9,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone 6s Plus,A9,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone SE (1st Gen),A9,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPod Touch 7,A10,"checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone 7,A10,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone 7 Plus,A10,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu",N/A,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone 8,A11,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone 8 Plus,A11,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone X,A11,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver",N/A,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver"
iPhone XR,A12,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
