Device,Chip,iOS 14.0,iOS 14.0.1,iOS 14.1,iOS 14.2,iOS 14.2 v2,iOS 14.2.1,iOS 14.3,iOS 14.4,iOS 14.4.1,iOS 14.4.2,iOS 14.5,iOS 14.5.1,iOS 14.6,iOS 14.7,iOS 14.7.1,iOS 14.8,iOS 14.8.1
iPhone 6s,A9,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone 6s Plus,A9,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone SE (1st Gen),A9,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPod Touch 7,A10,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone 7,A10,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone 7 Plus,A10,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone 8,A11,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone 8 Plus,A11,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone X,A11,"checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver","checkra1n, Taurine, unc0ver",N/A,N/A,"checkra1n, Taurine, unc0ver",checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n,checkra1n
iPhone XR,A12,"Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver",N/A,N/A,"Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver, Fugu14","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, unc0ver","Taurine, trollstore"
