Device,Chip,Arch,iOS 15.0 v1,iOS 15.0,iOS 15.0.1,iOS 15.0.2,iOS 15.1,iOS 15.1.1,iOS 15.2,iOS 15.2.1,iOS 15.3,iOS 15.3.1,iOS 15.4,iOS 15.4.1,iOS 15.5,iOS 15.6,iOS 15.6.1,iOS 15.7,iOS 15.7.1,iOS 15.7.2,iOS 15.7.3,iOS 15.7.4,iOS 15.7.5,iOS 15.7.6,iOS 15.7.7,iOS 15.7.8,iOS 15.7.9,iOS 15.8,iOS 15.8.1,iOS 15.8.2,iOS 15.8.3
iPhone 6s,A9,armv8,N/A,"palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine"
iPhone 6s Plus,A9,armv8,N/A,"palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine"
iPhone SE (1st Gen),A9,armv8,N/A,"palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine","palera1n, bakera1n, nekoJB, TrollStore, Dopamine"
iPod Touch 7,A10,armv8,N/A,"palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore"
iPhone 7,A10,armv8,N/A,"palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore"
iPhone 7 Plus,A10,armv8,N/A,"palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore"
iPhone 8,A11,arm64,N/A,"palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore"
iPhone 8 Plus,A11,arm64,N/A,"palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore"
iPhone X,A11,arm64,N/A,"palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore","palera1n, bakera1n, nekoJB, TrollStore"
iPhone XR,A12,arm64e,N/A,"Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore","Dopamine, XinaA15, Fugu15, TrollStore",TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
