Device,Chip,Arch,iOS 16.0,iOS 16.0.1,iOS 16.0.2,iOS 16.0.3,iOS 16.1,iOS 16.1.1,iOS 16.1.2,iOS 16.2,iOS 16.3,iOS 16.3.1,iOS 16.4,iOS 16.4.1,iOS 16.5,iOS 16.5.1,iOS 16.6,iOS 16.6.1,iOS 16.7,iOS 16.7.1,iOS 16.7.2,iOS 16.7.3,iOS 16.7.4,iOS 16.7.5,iOS 16.7.7,iOS 16.7.8
iPhone 8,A11,arm64,"palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore",palera1n,palera1n,palera1n,palera1n,palera1n,palera1n,palera1n,palera1n
iPhone 8 Plus,A11,arm64,"palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore",palera1n,palera1n,palera1n,palera1n,palera1n,palera1n,palera1n,palera1n
iPhone X,A11,arm64,"palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore","palera1n, TrollStore",palera1n,palera1n,palera1n,palera1n,palera1n,palera1n,palera1n,palera1n
iPhone XR,A12,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone XS,A12,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone XS Max,A12,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone SE (2nd Gen),A13,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 11,A13,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 11 Pro,A13,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 11 Pro Max,A13,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 12 mini,A14,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 12,A14,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 12 Pro,A14,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 12 Pro Max,A14,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone SE (3rd Gen),A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 13 mini,A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 13,A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 13 Pro,A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 13 Pro Max ,A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 14,A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 14 Plus,A15,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 14 Pro,A16,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
iPhone 14 Pro Max ,A16,arm64e,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,TrollStore,,,,,,,,
