Device,iOS 18.0,iOS 18.0.1,iOS 18.1,iOS 18.1.1,iOS 18.2,iOS 18.2.1,iOS 18.3,iOS 18.3.1,iOS 18.4
iPhone 15 Pro Max,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 15 Pro,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 15 Plus,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 15,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 14 Pro Max,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 14 Pro,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 14 Plus,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPhone 14,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Pro 6,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Pro 5,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad Air 5,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB
iPad 10,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB,No JB 
